[DEBUG] 2021-12-15 16:51:41.154 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@708e4e92
[DEBUG] 2021-12-15 16:51:41.154 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@708e4e92
[DEBUG] 2021-12-15 16:51:41.156 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@6a36de3a
[DEBUG] 2021-12-15 16:51:41.156 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@6a36de3a
[DEBUG] 2021-12-15 16:51:41.156 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@6a36de3a
[DEBUG] 2021-12-15 16:51:41.162 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@3b7e2462
[DEBUG] 2021-12-15 16:51:41.166 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@7f74e4c7
[DEBUG] 2021-12-15 16:51:41.168 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@7f74e4c7
[DEBUG] 2021-12-15 16:51:41.170 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@7f74e4c7
[DEBUG] 2021-12-15 16:51:41.172 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@3f96c8ef
[DEBUG] 2021-12-15 16:51:41.173 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@4163449a
[DEBUG] 2021-12-15 16:51:41.173 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@4163449a
[DEBUG] 2021-12-15 16:51:41.174 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@5d0eef63
[DEBUG] 2021-12-15 16:51:41.174 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@5d0eef63
[DEBUG] 2021-12-15 16:51:41.174 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@4ab5dc27
[DEBUG] 2021-12-15 16:51:41.174 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@4ab5dc27
[DEBUG] 2021-12-15 16:51:41.175 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@53ae4f76
[DEBUG] 2021-12-15 16:51:41.179 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@53ae4f76
[DEBUG] 2021-12-15 16:51:41.180 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@385b25a1
[DEBUG] 2021-12-15 16:51:41.185 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@385b25a1
[DEBUG] 2021-12-15 16:51:41.185 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@17e5cfb
[DEBUG] 2021-12-15 16:51:41.189 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@3e8c9100
[DEBUG] 2021-12-15 16:51:41.189 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@3e8c9100
[DEBUG] 2021-12-15 16:51:41.189 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@3e8c9100
[DEBUG] 2021-12-15 16:51:41.190 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@7771da1d
[DEBUG] 2021-12-15 16:51:41.190 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@7771da1d
[DEBUG] 2021-12-15 16:51:41.190 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@7771da1d
[DEBUG] 2021-12-15 16:51:41.192 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@55d4b3e
[DEBUG] 2021-12-15 16:51:41.193 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@1c3bd4c0
[DEBUG] 2021-12-15 16:51:41.197 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@1df7cad9
[DEBUG] 2021-12-15 16:51:41.197 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@1df7cad9
