[DEBUG] 2021-12-14 22:23:05.043 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@407873d3
[DEBUG] 2021-12-14 22:23:05.043 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@407873d3
[DEBUG] 2021-12-14 22:23:05.045 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@49fe3142
[DEBUG] 2021-12-14 22:23:05.048 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@49fe3142
[DEBUG] 2021-12-14 22:23:05.049 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4d62f4c6
[DEBUG] 2021-12-14 22:23:05.049 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4d62f4c6
[DEBUG] 2021-12-14 22:23:05.050 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@2042ccce
[DEBUG] 2021-12-14 22:23:05.050 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@2042ccce
[DEBUG] 2021-12-14 22:23:05.051 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@2af46afd
[DEBUG] 2021-12-14 22:23:05.051 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@2af46afd
[DEBUG] 2021-12-14 22:23:05.051 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@73d3e555
[DEBUG] 2021-12-14 22:23:05.051 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@73d3e555
[DEBUG] 2021-12-14 22:23:05.051 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@73d3e555
[DEBUG] 2021-12-14 22:23:05.052 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@74d3b638
