[DEBUG] 2021-12-14 22:33:23.298 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4f5f6e45
[DEBUG] 2021-12-14 22:33:23.300 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@79316f3a
[DEBUG] 2021-12-14 22:33:23.301 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@79316f3a
[DEBUG] 2021-12-14 22:33:23.302 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6fc29daa
[DEBUG] 2021-12-14 22:33:23.302 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6fc29daa
[DEBUG] 2021-12-14 22:33:23.303 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@1640190a
[DEBUG] 2021-12-14 22:33:23.303 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@1640190a
[DEBUG] 2021-12-14 22:33:23.308 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@859ea42
[DEBUG] 2021-12-14 22:33:23.308 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@859ea42
[DEBUG] 2021-12-14 22:33:23.308 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@2b289ac9
[DEBUG] 2021-12-14 22:33:23.309 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@2b289ac9
[DEBUG] 2021-12-14 22:33:23.309 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@2b289ac9
[DEBUG] 2021-12-14 22:33:23.309 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@44924587
[DEBUG] 2021-12-14 22:33:23.310 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@43a0a32d
[DEBUG] 2021-12-14 22:33:23.310 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@43a0a32d
[DEBUG] 2021-12-14 22:33:23.310 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@43a0a32d
[DEBUG] 2021-12-14 22:33:23.311 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@1174a305
[DEBUG] 2021-12-14 22:33:23.311 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@987455b
[DEBUG] 2021-12-14 22:33:23.311 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@987455b
[DEBUG] 2021-12-14 22:33:23.313 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@20576557
[DEBUG] 2021-12-14 22:33:23.313 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@20576557
[DEBUG] 2021-12-14 22:33:23.314 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@1bc776b7
[DEBUG] 2021-12-14 22:33:23.318 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@1bc776b7
